varnames,labels
symptom,Symptom
percent,Procent
ref,Ref
rigorous,Rigorös
type,Typ
n,n
increased_motor_activity,Ökad motorisk aktivitet
decreased_sleep,Minskad sömn
pressured_speech,Pressat tal
racing_thoughts_or_disturbed_concentration,Rusande tankar eller störd koncentration
flight_of_ideas,Tankeflykt
distractability,Distraherbarhet
delusions,Vanföreställningar
auditory_hallucinations,Hörselhallucinationer
visual_hallucinations,Synhallucinationer
olfactory_hallucinations,Lukthallucinationer
mood_lability,Humörsvängningar
euphoric_mood,Eufori
dysphoric_mood,Dysfori
guilt,Skuldkänslor
suicidal_ideation,Självmordstankar
psychosis,Psykos
paranoia,Paranoia
persecutory_delusions,Vanföreställningar av förföljelse
grandiosity,Grandiositet
lack_of_insight,Begränsad sjukdomsinsikt
increased_contact,Ökat kontaktsökande
increased_sexuality,Ökad sexualitet
humor,Humor
anxiety,Ångest
irritability,Irritabilitet
aggression,Aggression
unusual_dress,Ovanlig klädsel
sedation,Sedering
weight_gain,Viktuppgång
akathisia,Akatisi
parkinsonism,Parkinsonism
anticholinergic,Antikolinerga
hypotension,Hypotension
prolactin,Prolaktinstegring
Haloperidol,Haloperidol
Ziprasidone,Ziprasidon
Lurasidone,Lurasidon
Flupentixol,Flupentixol
Clozapine,Clozapin
Olanzapine,Olanzapin
Quetiapine,Kvetiapin
Risperidone,Risperidon
Aripiprazole,Aripiprazol
Cariprazine,Cariprazin
Zuclopenthixol,Zuklopentixol
Perphenazine,Perfenazin
kvetiapin,Kvetiapin
litium,Litium
aripiprazol,Aripiprazol
lamotrigin,Lamotrigin
olanzapin,Olanzapin
risperidon,Risperidon
valproat,Valproat
ziprasidon,Ziprasidon
paliperidon,Paliperidon
karbamazepin,Karbamazepin
asenapin,Asenapin
ect,ECT
haloperidol,Haloperidol
lurasidon,Lurasidon
modafinil,Modafinil
drug,Läkemedel
depression,Depression
mania,Mani
maintainance,Underhållsbehandling
acute_bipolar1depression,Depression
acute_mania,Mani
